Unnamed: 0,Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Expected years of schooling,ISO3,Human Development Groups,UNDP Developing Regions,Human Development Index (1990),Human Development Index (1991),Human Development Index (1992),Human Development Index (1993),Human Development Index (1994),Human Development Index (1995),Human Development Index (1996),Human Development Index (1997),Human Development Index (1998),Human Development Index (1999),Human Development Index (2000),Human Development Index (2001),Human Development Index (2002),Human Development Index (2003),Human Development Index (2004),Human Development Index (2005),Human Development Index (2006),Human Development Index (2007),Human Development Index (2008),Human Development Index (2009),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (2014),Human Development Index (2015),Human Development Index (2016),Human Development Index (2017),Human Development Index (2018),Human Development Index (2019),Human Development Index (2020),Life Expectancy at Birth (1990),Life Expectancy at Birth (1991),Life Expectancy at Birth (1992),Life Expectancy at Birth (1993),Life Expectancy at Birth (1994),Life Expectancy at Birth (1995),Life Expectancy at Birth (1996),Life Expectancy at Birth (1997),Life Expectancy at Birth (1998),Life Expectancy at Birth (1999),Life Expectancy at Birth (2000),Life Expectancy at Birth (2001),Life Expectancy at Birth (2002),Life Expectancy at Birth (2003),Life Expectancy at Birth (2004),Life Expectancy at Birth (2005),Life Expectancy at Birth (2006),Life Expectancy at Birth (2007),Life Expectancy at Birth (2008),Life Expectancy at Birth (2009),Life Expectancy at Birth (2010),Life Expectancy at Birth (2011),Life Expectancy at Birth (2012),Life Expectancy at Birth (2013),Internet users,Life Expectancy at Birth (2014),Life Expectancy at Birth (2015),Life Expectancy at Birth (2016),Life Expectancy at Birth (2017),Life Expectancy at Birth (2018),Life Expectancy at Birth (2019),Life Expectancy at Birth (2020),Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996)
0,1,Afghanistan,180.0,0.478,61.9824,2.98506999,1824.190915,10.26384398,AFG,Low,SA,0.273,0.279,0.287,0.297,0.292,0.31,0.319,0.323,0.324,0.332,0.335,0.337,0.362,0.376,0.392,0.4,0.409,0.424,0.43,0.44,0.448,0.456,0.466,0.474,0.479,0.478,0.481,0.482,0.483,0.488,0.483,45.9672,46.6631,47.5955,51.4664,51.4945,52.5442,53.2433,53.6342,52.9431,54.8464,55.2978,55.7981,56.4538,57.3445,57.9436,58.3608,58.6844,59.1113,59.8515,60.3636,60.8508,61.4191,61.923,62.4167,45.5,62.5451,62.6587,63.1361,63.016,63.081,63.5645,62.5751,2.504050016,2.806550026,3.109050035,3.411550045,3.714050055,4.016550064,4.319050074
1,2,Angola,148.0,0.586,61.6434,5.417390823,5465.617791,12.1721,AGO,Medium,SSA,,,,,,,,,,0.364,0.375,0.386,0.403,0.42,0.433,0.447,0.459,0.475,0.486,0.5,0.51,0.526,0.541,0.552,0.563,0.582,0.596,0.597,0.595,0.595,0.59,41.8933,43.8127,42.2088,42.1009,43.4217,45.8491,46.0329,46.3065,45.057,45.3858,46.0236,46.5905,47.3865,49.6173,50.592,51.5699,52.3688,53.6419,54.6327,55.7516,56.7258,57.5961,58.6231,59.3074,52.0,60.0397,60.6546,61.0923,61.6798,62.1438,62.4484,62.2612,3.537480116,3.324830055,3.30208993,3.38586994,3.469649951,3.553429961,3.637209972
2,3,Albania,67.0,0.796,76.4626,11.28645502,14131.11039,14.44799995,ALB,High,ECA,0.647,0.629,0.614,0.617,0.624,0.634,0.645,0.642,0.657,0.669,0.677,0.684,0.689,0.696,0.7,0.711,0.718,0.73,0.736,0.741,0.754,0.766,0.778,0.785,0.792,0.795,0.798,0.802,0.806,0.81,0.794,73.1439,73.3776,73.7148,73.9391,74.1313,74.3616,74.5923,73.9039,74.9899,75.1828,75.4043,75.6388,75.8899,76.1421,76.3761,76.6208,76.8162,77.5491,77.6529,77.781,77.9359,78.0919,78.064,78.1226,74.9,78.4075,78.6441,78.8602,79.0473,79.1838,79.2825,76.9893,11.60293007,11.76358032,10.66378021,10.12650013,10.09115028,10.16617012,10.22844982
3,4,Andorra,40.0,0.858,80.3684,10.55511952,51166.62661,13.30023874,AND,Very High,,,,,,,,,,,,0.818,0.825,0.832,0.841,0.833,0.833,0.848,0.847,0.85,0.848,0.848,0.849,0.869,0.864,0.871,0.867,0.871,0.868,0.872,0.873,0.848,78.4063,77.9805,80.3241,78.6633,82.638,78.9616,80.334,80.9439,79.4259,81.3173,80.9193,81.6857,82.2368,83.9209,80.0836,81.7599,82.9664,82.6594,82.6982,82.752,82.8156,82.8975,82.9166,82.9343,84.8,82.9483,82.9534,82.9671,82.9803,82.9923,83.0039,79.0234,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878
4,5,United Arab Emirates,26.0,0.911,78.7104,12.69402981,62573.59181,15.71769047,ARE,Very High,AS,0.728,0.739,0.742,0.748,0.755,0.762,0.767,0.773,0.779,0.787,0.796,0.8,0.804,0.814,0.818,0.822,0.827,0.831,0.834,0.833,0.835,0.84,0.846,0.852,0.859,0.865,0.87,0.897,0.909,0.92,0.912,71.9004,72.2414,72.3062,72.5213,72.5982,72.6945,72.7674,72.9367,73.0658,73.6697,74.38,74.6356,74.901,76.2223,76.4532,76.6825,76.9087,77.1289,77.4877,78.003,78.3335,78.5168,78.7155,78.8528,80.8,79.0442,79.2232,79.3347,79.5036,79.6274,79.7262,78.9457,10.47455978,10.8223896,10.65937996,10.68766022,10.80651457,10.92536893,11.04422329
5,6,Argentina,47.0,0.842,75.3899,11.14726927,20925.26814,17.8748703,ARG,Very High,LAC,0.723,0.73,0.735,0.739,0.744,0.745,0.751,0.756,0.762,0.773,0.779,0.784,0.785,0.793,0.798,0.802,0.814,0.817,0.825,0.827,0.834,0.841,0.843,0.845,0.846,0.848,0.847,0.851,0.85,0.852,0.84,71.7837,72.319,72.4295,72.5646,73.1725,73.1333,73.3066,73.0899,73.4737,73.7219,73.926,74.1864,74.408,74.0801,74.8549,75.1388,75.4326,75.0057,75.6411,75.9359,75.7208,76.124,76.4669,76.4908,74.6,76.7549,76.7602,76.3077,76.833,76.9994,77.2845,75.8921,13.28104085,13.23573971,13.19059308,13.14544646,13.10029984,13.30911493,13.51793003
6,7,Armenia,85.0,0.759,72.0431,11.33030033,13157.9939,13.11676025,ARM,High,ECA,0.656,0.649,0.618,0.616,0.62,0.627,0.632,0.641,0.654,0.657,0.662,0.666,0.676,0.686,0.694,0.707,0.721,0.738,0.742,0.741,0.746,0.75,0.755,0.76,0.764,0.766,0.765,0.768,0.771,0.778,0.757,68.8209,68.6431,68.6266,68.8415,69.0725,69.3108,69.7828,69.9098,70.5142,70.2565,70.6236,70.932,71.0179,71.4356,71.4205,71.7922,71.9868,72.3271,72.3985,72.8125,73.1597,73.3045,73.454,73.6759,76.2,74.0577,74.4361,74.6639,74.9059,75.0645,75.4386,72.173,10.92731277,10.84545994,10.76422024,10.92055035,10.6141901,10.39615488,10.17811966
7,8,Antigua and Barbuda,71.0,0.788,78.4968,9.293740746,16792.36595,14.18462641,ATG,High,LAC,,,,,,,,,,,,,,,,,,0.802,0.801,0.795,0.79,0.783,0.787,0.787,0.789,0.791,0.794,0.795,0.798,0.8,0.788,73.4922,73.4354,73.4168,73.4819,73.5912,73.6363,73.8291,73.9603,74.0413,74.3467,74.6058,75.0781,75.5357,75.4778,75.6721,75.8254,75.7647,76.1311,76.4103,76.6694,76.8195,77.1038,77.3502,77.5834,74.8,77.8577,77.9127,78.1516,78.2683,78.5112,78.6912,78.8406,,,,,,,
8,9,Australia,5.0,0.951,84.5265,12.72681999,49238.43335,21.05459023,AUS,Very High,,0.865,0.867,0.869,0.873,0.873,0.882,0.884,0.887,0.891,0.894,0.896,0.9,0.902,0.906,0.908,0.911,0.914,0.915,0.919,0.921,0.923,0.926,0.93,0.929,0.931,0.933,0.935,0.937,0.941,0.941,0.947,77.0443,77.4831,77.4765,78.0098,77.8558,78.2619,78.3492,78.6317,79.0275,79.2855,79.6309,80.0165,80.0639,80.4549,80.7512,81.1126,81.2822,81.2603,81.4589,81.7661,82.055,82.1336,82.3456,82.6041,83.2,82.5677,82.6552,82.8707,83.0006,83.3871,83.11,84.3239,17.5350793,17.50559003,17.47615035,17.44676018,17.41741943,18.93136978,19.49362946
9,10,Austria,25.0,0.916,81.5797,12.25669003,53618.67138,16.00795937,AUT,Very High,,0.825,0.829,0.835,0.84,0.845,0.849,0.853,0.857,0.863,0.866,0.871,0.876,0.879,0.881,0.886,0.889,0.893,0.896,0.898,0.898,0.902,0.905,0.906,0.905,0.909,0.91,0.915,0.916,0.917,0.919,0.913,75.7396,75.7931,75.9931,76.2258,76.5425,76.7766,77.0268,77.4292,77.7833,77.956,78.2358,78.7192,78.8469,78.8496,79.3632,79.521,79.9655,80.1672,80.3639,80.207,80.4643,80.8285,80.841,81.0783,85.2,81.3903,81.1594,81.5925,81.6391,81.6862,81.9077,81.5036,13.93255997,14.12351036,14.42138958,14.62442017,14.75572014,14.87022972,14.92243004
